number,source,destination,bytes
001,C:\VerbalVis\VerbalVis2\backend\logs\20260702_110306_session-7ba45f38_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_001.log,0
002,C:\VerbalVis\VerbalVis2\backend\logs\20260702_110438_session-378f2492_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_002.log,0
003,C:\VerbalVis\VerbalVis2\backend\logs\20260702_110442_session-fb5828e4_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_003.log,0
004,C:\VerbalVis\VerbalVis2\backend\logs\20260702_111324_session-5ed4878b_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_004.log,0
005,C:\VerbalVis\VerbalVis2\backend\logs\20260702_111730_session-3177bf2f_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_005.log,0
006,C:\VerbalVis\VerbalVis2\backend\logs\20260702_161357_session-56748499_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_006.log,0
007,C:\VerbalVis\VerbalVis2\backend\logs\20260702_161407_session-d84bf243_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_007.log,0
008,C:\VerbalVis\VerbalVis2\backend\logs\20260702_161812_session-545d647e_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_008.log,262
009,C:\VerbalVis\VerbalVis2\backend\logs\20260702_161836_session-f3c0f889_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_009.log,0
010,C:\VerbalVis\VerbalVis2\backend\logs\20260704_182353_session-09be9e82_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_010.log,0
011,C:\VerbalVis\VerbalVis2\backend\logs\20260704_182515_session-3537fba9_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_011.log,1813
012,C:\VerbalVis\VerbalVis2\backend\logs\20260704_182758_session-102ea06c_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_012.log,207
013,C:\VerbalVis\VerbalVis2\backend\logs\20260704_182831_session-cdc9442d_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_013.log,1274
014,C:\VerbalVis\VerbalVis2\backend\logs\20260704_185005_session-d0464a14_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_014.log,0
015,C:\VerbalVis\VerbalVis2\backend\logs\20260704_185018_session-82fa1736_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_015.log,2678
016,C:\VerbalVis\VerbalVis2\backend\logs\20260704_185349_session-54da253b_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_016.log,0
017,C:\VerbalVis\VerbalVis2\backend\logs\20260704_190041_session-21e3f4a6_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_017.log,0
018,C:\VerbalVis\VerbalVis2\backend\logs\20260704_190606_session-81de8c5d_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_018.log,0
019,C:\VerbalVis\VerbalVis2\backend\logs\20260704_190607_session-fa4a05cd_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_019.log,0
020,C:\VerbalVis\VerbalVis2\backend\logs\20260704_190619_session-2eb10f07_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_020.log,9358
021,C:\VerbalVis\VerbalVis2\backend\logs\20260704_191917_session-f276ce91_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_021.log,213
022,C:\VerbalVis\VerbalVis2\backend\logs\20260704_191927_session-cb979946_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_022.log,0
023,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193011_session-26d24091_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_023.log,0
024,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193011_session-4ead46c0_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_024.log,0
025,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193011_session-958d9c0a_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_025.log,0
026,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193030_session-75319a27_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_026.log,0
027,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193030_session-da54895c_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_027.log,0
028,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193030_session-fd955cb4_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_028.log,0
029,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193129_session-12c58f4e_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_029.log,0
030,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193129_session-6b8d2591_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_030.log,0
031,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193129_session-acd760c8_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_031.log,0
032,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193144_session-3b9ee690_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_032.log,0
033,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193144_session-57cabd51_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_033.log,0
034,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193145_session-6e58c9e3_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_034.log,0
035,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193206_session-ba5930f7_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_035.log,0
036,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193207_session-a1dc9226_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_036.log,0
037,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193207_session-e1c1f566_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_037.log,0
038,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193216_session-161a8230_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_038.log,0
039,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193216_session-67c00e0e_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_039.log,0
040,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193216_session-876fad3a_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_040.log,0
041,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193429_session-7ad0bd35_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_041.log,0
042,C:\VerbalVis\VerbalVis2\backend\logs\20260704_193429_session-a70bd6c9_qwen\conversation.log,C:\VerbalVis\VerbalVis2\backend\自己电脑上的log\conversation_042.log,0
