FORMATIVE STUDY - ANALYTICAL INTENT REVISION REPORT
========================================================================================
Generated at: 2026-07-04T00:13:07
Model: qwen3.7-plus
Input directory: F:\VerbalVis2\backend\formative study log\formative intent log
Prompt: F:\VerbalVis2\backend\formative study log\qwen37_intent_revision_prompt_final.txt
Max concurrent requests: 32

IMPORTANT
----------------------------------------------------------------------------------------
本报告中的结果是 Qwen 生成的候选编码。
用于论文或正式分析前，请逐条人工核验用户原话、上下文、类型和判定理由。

1. OVERALL STATISTICS
----------------------------------------------------------------------------------------
Discovered log files: 103
Successfully processed: 103
Failed: 0
Total unique intent-revision episodes: 27
Analytical Goal Shift: 12
Working-Hypothesis Revision: 5
Analytical Scope Refinement: 18
Compound revision episodes: 8
Episodes requiring human review: 1

Counting note:
三类数量采用多标签计数。一个 compound revision 可能同时计入两个或三个类型。

2. PER-LOG STATISTICS
----------------------------------------------------------------------------------------
conversation_001.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_002.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=1, user_events=0
conversation_003.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_004.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=1, user_events=0
conversation_005.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_006.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=1, user_events=0
conversation_007.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=1, user_events=0
conversation_008.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_009.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_010.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=9, user_events=4
conversation_011.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=15, user_events=5
conversation_012.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_013.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_014.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_015.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_016.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_017.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=1, user_events=0
conversation_018.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=1, user_events=0
conversation_019.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_020.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_021.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_022.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=1, user_events=0
conversation_023.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_024.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_025.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_026.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_027.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_028.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_029.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=0, user_events=0
conversation_030.log: total=0, goal=0, hypothesis=0, scope=0, compound=0, events=1, user_events=0
