number,source,destination,bytes
001,F:\VerbalVis2\backend\logs\20260630_124651_session-da383dce_qwen过多打断\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_001.log,2889
002,F:\VerbalVis2\backend\logs\20260630_125342_session-baeccf77_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_002.log,273
003,F:\VerbalVis2\backend\logs\20260630_133639_session-64146460_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_003.log,0
004,F:\VerbalVis2\backend\logs\20260630_134034_session-b44c6e33_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_004.log,204
005,F:\VerbalVis2\backend\logs\20260630_144641_session-cebb33f3_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_005.log,0
006,F:\VerbalVis2\backend\logs\20260630_144659_session-2c8012ef_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_006.log,213
007,F:\VerbalVis2\backend\logs\20260630_144937_session-1ed0fb9d_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_007.log,210
008,F:\VerbalVis2\backend\logs\20260630_145010_session-133f1071_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_008.log,0
009,F:\VerbalVis2\backend\logs\20260630_145022_session-4f604f42_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_009.log,0
010,F:\VerbalVis2\backend\logs\20260630_145057_session-2e009d23_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_010.log,891
011,F:\VerbalVis2\backend\logs\20260630_145302_session-db330c8a_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_011.log,2310
012,F:\VerbalVis2\backend\logs\20260630_145709_session-5ba9576a_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_012.log,0
013,F:\VerbalVis2\backend\logs\20260630_150946_session-0e842d33_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_013.log,0
014,F:\VerbalVis2\backend\logs\20260630_152727_session-095e16c9_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_014.log,0
